#"+ BPC(1083.03666) Scan stir_50_Ecoli-r011.d "
#Point,X(Minutes),Y(Counts)
0,0.060,0
1,0.077,0
2,0.094,0
3,0.110,0
4,0.127,0
5,0.144,0
6,0.160,0
7,0.177,0
8,0.194,0
9,0.210,0
10,0.227,0
11,0.243,0
12,0.260,0
13,0.277,0
14,0.293,0
15,0.310,0
16,0.327,0
17,0.343,0
18,0.360,0
19,0.377,0
20,0.393,0
21,0.410,0
22,0.426,0
23,0.443,0
24,0.460,0
25,0.476,0
26,0.493,0
27,0.510,0
28,0.526,0
29,0.543,0
30,0.559,0
31,0.576,0
32,0.593,0
33,0.609,0
34,0.626,0
35,0.643,0
36,0.659,0
37,0.676,0
38,0.693,0
39,0.709,0
40,0.726,0
41,0.742,0
42,0.759,0
43,0.776,0
44,0.792,0
45,0.809,0
46,0.826,0
47,0.842,0
48,0.859,0
49,0.876,0
50,0.892,0
51,0.909,0
52,0.925,0
53,0.942,0
54,0.959,0
55,0.975,0
56,0.992,0
57,1.009,0
58,1.025,0.112979213846652
59,1.042,0
60,1.058,0
61,1.075,0
62,1.092,0
63,1.108,0
64,1.125,0
65,1.142,0
66,1.158,0
67,1.175,0
68,1.192,0
69,1.208,0
70,1.225,0
71,1.241,0
72,1.258,0
73,1.275,0
74,1.291,0
75,1.308,0
76,1.325,0
77,1.341,0
78,1.358,0.166879198536523
79,1.375,0
80,1.391,0.123545792603408
81,1.408,0
82,1.424,0
83,1.441,0
84,1.458,0
85,1.474,0
86,1.491,0
87,1.508,0
88,1.524,0
89,1.541,0
90,1.557,0
91,1.574,0
92,1.591,0
93,1.607,0
94,1.624,0
95,1.641,0
96,1.657,0.111339555824894
97,1.674,0
98,1.691,0
99,1.707,0
100,1.724,0
101,1.740,0
102,1.757,0
103,1.774,0
104,1.790,0
105,1.807,0
106,1.824,0
107,1.840,0
108,1.857,0
109,1.874,0
110,1.890,0
111,1.907,0.186131726341778
112,1.923,0
113,1.940,0
114,1.957,0
115,1.973,0.241234155196428
116,1.990,0
117,2.007,0
118,2.023,0
119,2.040,0.130368112090798
120,2.057,0
121,2.073,0
122,2.090,0
123,2.106,0.117134446273996
124,2.123,0.165927838214737
125,2.140,0.168499951222228
126,2.156,0
127,2.173,0
128,2.190,0
129,2.206,0
130,2.223,0
131,2.240,0
132,2.256,0
133,2.273,0
134,2.289,0
135,2.306,0
136,2.323,0
137,2.339,0.157651234814666
138,2.356,0
139,2.373,0
140,2.389,0
141,2.406,0
142,2.422,0
143,2.439,0
144,2.456,0
145,2.472,0
146,2.489,0
147,2.506,0.129028833710773
148,2.522,0
149,2.539,0
150,2.556,0
151,2.572,0.157871048877016
152,2.589,0
153,2.605,0
154,2.622,0
155,2.639,0
156,2.655,0
157,2.672,0
158,2.689,0
159,2.705,0
160,2.722,0
161,2.739,0
162,2.755,0
163,2.772,0
164,2.788,0
165,2.805,0
166,2.822,0
167,2.838,0
168,2.855,0
169,2.872,0.125648010436558
170,2.888,0.130769960396655
171,2.905,0
172,2.921,0
173,2.938,0
174,2.955,0
175,2.971,0
176,2.988,0
177,3.005,0
178,3.021,0
179,3.038,0
180,3.055,0
181,3.071,0
182,3.088,0
183,3.104,0
184,3.121,0.118680125260885
185,3.138,0
186,3.154,0
187,3.171,0
188,3.188,0.147668044955088
189,3.204,0
190,3.221,0
191,3.238,0
192,3.254,0.104138983063465
193,3.271,0
194,3.287,0.106195854315361
195,3.304,0
196,3.321,0
197,3.337,0
198,3.354,0
199,3.371,0
200,3.387,0
201,3.404,0
202,3.420,0
203,3.437,0
204,3.454,0
205,3.470,0.102366131511332
206,3.487,0
207,3.504,0
208,3.520,0
209,3.537,0
210,3.554,0
211,3.570,0.130625366586113
212,3.587,0
213,3.603,0.129099726792641
214,3.620,0
215,3.637,0.106256450121166
216,3.653,0.120349579820044
217,3.670,0
218,3.687,0
219,3.703,0
220,3.720,0
221,3.737,0
222,3.753,0.125571293801561
223,3.770,0.151069323941752
224,3.786,0
225,3.803,0
226,3.820,0
227,3.836,0
228,3.853,0.137323193162901
229,3.870,0
230,3.886,0
231,3.903,0
232,3.919,0
233,3.936,0
234,3.953,0
235,3.969,0
236,3.986,0
237,4.003,0
238,4.019,0.136167784795449
239,4.036,0
240,4.053,0
241,4.069,0
242,4.086,0.124881391731985
243,4.102,0
244,4.119,0
245,4.136,0
246,4.152,0
247,4.169,0
248,4.186,0.135628870874884
249,4.202,0
250,4.219,0
251,4.236,0
252,4.252,0.155560139582328
253,4.269,0
254,4.285,0
255,4.302,0
256,4.319,0
257,4.335,0
258,4.352,0
259,4.369,0
260,4.385,0
261,4.402,0
262,4.418,0
263,4.435,0
264,4.452,0
265,4.468,0
266,4.485,0.121054576847863
267,4.502,0
268,4.518,0
269,4.535,0
270,4.552,0.104881142844895
271,4.568,0
272,4.585,0
273,4.601,0
274,4.618,0.171768838863317
275,4.635,0.174541590631066
276,4.651,0
277,4.668,0
278,4.685,0
279,4.701,0
280,4.718,0
281,4.735,0
282,4.751,0
283,4.768,0
284,4.784,0
285,4.801,0
286,4.818,0
287,4.834,0
288,4.851,0
289,4.868,0.136911857479099
290,4.884,0
291,4.901,0
292,4.917,0
293,4.934,0
294,4.951,0
295,4.967,0
296,4.984,0
297,5.001,0
298,5.017,0
299,5.034,0
300,5.051,0
301,5.067,0
302,5.084,0
303,5.100,0
304,5.117,0
305,5.134,0
306,5.150,0
307,5.167,0
308,5.184,0
309,5.200,0
310,5.217,0
311,5.234,0
312,5.250,0
313,5.267,0
314,5.283,0
315,5.300,0
316,5.317,0
317,5.333,0
318,5.350,0
319,5.367,0
320,5.383,0
321,5.400,0
322,5.416,0
323,5.433,0
324,5.450,0
325,5.466,0
326,5.483,0
327,5.500,0
328,5.516,0
329,5.533,0
330,5.550,0
331,5.566,0
332,5.583,0.133677093545352
333,5.599,0
334,5.616,0
335,5.633,0
336,5.649,0
337,5.666,0
338,5.683,0
339,5.699,0
340,5.716,0
341,5.733,0
342,5.749,0
343,5.766,0
344,5.782,0.132834907489778
345,5.799,0
346,5.816,0
347,5.832,0
348,5.849,0
349,5.866,0
350,5.882,0
351,5.899,0
352,5.915,0
353,5.932,0
354,5.949,0.156214259581749
355,5.965,0.251242166504973
356,5.982,0
357,5.999,0
358,6.015,0
359,6.032,0
360,6.049,0
361,6.065,0
362,6.082,0
363,6.098,0
364,6.115,0
365,6.132,0
366,6.148,0
367,6.165,0
368,6.182,0
369,6.198,0
370,6.215,0
371,6.232,0
372,6.248,0
373,6.265,0
374,6.281,0
375,6.298,0
376,6.315,0
377,6.331,0.14122029949029
378,6.348,0
379,6.365,0
380,6.381,0
381,6.398,0
382,6.414,0
383,6.431,0
384,6.448,0
385,6.464,0.134725903893936
386,6.481,0
387,6.498,0
388,6.514,0
389,6.531,0
390,6.548,0
391,6.564,0
392,6.581,0
393,6.597,0
394,6.614,0
395,6.631,0
396,6.647,0
397,6.664,0
398,6.681,0
399,6.697,0
400,6.714,0
401,6.731,0
402,6.747,0
403,6.764,0
404,6.780,0.125415662236678
405,6.797,0
406,6.814,0.13490213772426
407,6.830,0
408,6.847,0
409,6.864,0
410,6.880,0
411,6.897,0
412,6.913,0
413,6.930,0
414,6.947,0
415,6.963,0
416,6.980,0
417,6.997,0
418,7.013,0
419,7.030,0
420,7.047,0
421,7.063,0
422,7.080,0
423,7.096,0
424,7.113,0
425,7.130,0
426,7.146,0
427,7.163,0
428,7.180,0
429,7.196,0
430,7.213,0
431,7.230,0
432,7.246,0
433,7.263,0
434,7.279,0
435,7.296,0
436,7.313,0
437,7.329,0
438,7.346,0
439,7.363,0
440,7.379,0
441,7.396,0
442,7.412,0
443,7.429,0.117808860006243
444,7.446,0
445,7.462,0
446,7.479,0
447,7.496,0
448,7.512,0
449,7.529,0
450,7.546,0
451,7.562,0
452,7.579,0
453,7.595,0.137047395857358
454,7.612,0.163299387151545
455,7.629,0
456,7.645,0
457,7.662,0
458,7.679,0
459,7.695,0
460,7.712,0
461,7.729,0
462,7.745,0
463,7.762,0
464,7.778,0
465,7.795,0
466,7.812,0
467,7.828,0
